item_id,square_catalog_id,sku,item_name,brand,category,subcategory,era_decade,size,measurements,condition_rating,condition_notes,material,color_primary,color_secondary,pattern,cost_price,selling_price,suggested_retail_price,source,acquisition_date,acquisition_location,is_one_of_a_kind,weight_grams,photo_urls,tags,status
64,sq_item_064,VIN0064,GreenYellow Blazer,Ann Taylor,tops,blazer,1990s,M,"{""chest"": ""35\"""", ""waist"": ""33\"""", ""length"": ""30\""""}",5,,cotton,yellow,,geometric,68.49,300.82,360.98,thrift_store,2024-07-30,Lake Kelly,True,485,"['https://example.com/photos/item_64_0.jpg', 'https://example.com/photos/item_64_1.jpg', 'https://example.com/photos/item_64_2.jpg', 'https://example.com/photos/item_64_3.jpg']","['statement_piece', 'festival', 'vintage']",sold
65,sq_item_065,VIN0065,Cyan Mini Dress,Diane von Furstenberg,dresses,mini_dress,1970s,size_14,"{""chest"": ""35\"""", ""waist"": ""36\"""", ""length"": ""24\""""}",4,Sapiente est id laudantium optio at molestias.,denim,black,gray,animal_print,9.21,35.04,42.05,thrift_store,2023-04-24,West Nicole,True,1833,"['https://example.com/photos/item_65_0.jpg', 'https://example.com/photos/item_65_1.jpg', 'https://example.com/photos/item_65_2.jpg']",['statement_piece'],sold
66,sq_item_066,VIN0066,NavajoWhite Sneakers,Local Designer,shoes,sneakers,1990s,size_8,"{""chest"": ""42\"""", ""waist"": ""31\"""", ""length"": ""40\""""}",4,,denim,blue,,floral,48.95,147.32,176.78,online_marketplace,2023-11-11,South Bradley,True,1603,"['https://example.com/photos/item_66_0.jpg', 'https://example.com/photos/item_66_1.jpg', 'https://example.com/photos/item_66_2.jpg']",['festival'],sold
67,sq_item_067,VIN0067,Purple Boots,Handmade,shoes,boots,Y2K,XS,"{""chest"": ""34\"""", ""waist"": ""33\"""", ""length"": ""30\""""}",5,,polyester,gray,purple,floral,76.16,369.08,442.9,consignment,2023-03-21,Bakerview,True,587,"['https://example.com/photos/item_67_0.jpg', 'https://example.com/photos/item_67_1.jpg', 'https://example.com/photos/item_67_2.jpg']","['festival', 'bohemian']",sold
68,sq_item_068,VIN0068,Chocolate Flats,Vintage Levi's,shoes,flats,1970s,S,"{""chest"": ""32\"""", ""waist"": ""24\"""", ""length"": ""32\""""}",4,,wool,pink,,polka_dot,38.5,107.63,129.16,consignment,2024-07-13,Port Heather,True,868,['https://example.com/photos/item_68_0.jpg'],"['retro', 'festival']",sold
69,sq_item_069,VIN0069,DarkGray Tank Top,Unknown,tops,tank_top,Y2K,S,"{""chest"": ""37\"""", ""waist"": ""26\"""", ""length"": ""48\""""}",4,,silk,yellow,,geometric,10.53,47.78,57.34,online_marketplace,2024-12-22,Lake Mauriceside,True,163,"['https://example.com/photos/item_69_0.jpg', 'https://example.com/photos/item_69_1.jpg', 'https://example.com/photos/item_69_2.jpg', 'https://example.com/photos/item_69_3.jpg']","['festival', 'retro', 'vintage']",sold
70,sq_item_070,VIN0070,PaleVioletRed Blouse,H&M,tops,blouse,1990s,size_12,"{""chest"": ""36\"""", ""waist"": ""34\"""", ""length"": ""29\""""}",4,Dolorem aperiam harum minima vitae porro vel nemo.,cashmere,gray,,polka_dot,12.59,32.94,39.53,thrift_store,2023-02-25,South Kent,True,838,['https://example.com/photos/item_70_0.jpg'],"['bohemian', 'statement_piece']",sold
71,sq_item_071,VIN0071,Orchid Sneakers,Unknown,shoes,sneakers,1960s,S,"{""chest"": ""36\"""", ""waist"": ""36\"""", ""length"": ""32\""""}",4,,leather,white,,polka_dot,19.98,41.5,49.8,thrift_store,2024-01-15,New Ashleyhaven,True,1913,"['https://example.com/photos/item_71_0.jpg', 'https://example.com/photos/item_71_1.jpg', 'https://example.com/photos/item_71_2.jpg', 'https://example.com/photos/item_71_3.jpg']","['festival', 'vintage']",sold
72,sq_item_072,VIN0072,DarkViolet Maxi Dress,Zara,dresses,maxi_dress,1970s,S,"{""chest"": ""33\"""", ""waist"": ""34\"""", ""length"": ""31\""""}",5,,polyester,brown,pink,geometric,37.98,105.97,127.16,online_marketplace,2024-07-02,Port Shaneburgh,True,1507,"['https://example.com/photos/item_72_0.jpg', 'https://example.com/photos/item_72_1.jpg', 'https://example.com/photos/item_72_2.jpg', 'https://example.com/photos/item_72_3.jpg']","['festival', 'vintage', 'statement_piece']",available
73,sq_item_073,VIN0073,HotPink Cocktail Dress,J.Crew,dresses,cocktail_dress,1990s,size_14,"{""chest"": ""34\"""", ""waist"": ""25\"""", ""length"": ""50\""""}",5,Commodi incidunt voluptates ipsa voluptatum.,wool,blue,,floral,72.71,301.23,361.48,estate_sale,2024-03-09,Port Brooke,True,260,"['https://example.com/photos/item_73_0.jpg', 'https://example.com/photos/item_73_1.jpg', 'https://example.com/photos/item_73_2.jpg', 'https://example.com/photos/item_73_3.jpg']",['classic'],sold
74,sq_item_074,VIN0074,MediumAquaMarine Blazer,Vintage Levi's,tops,blazer,1980s,size_8,"{""chest"": ""40\"""", ""waist"": ""29\"""", ""length"": ""47\""""}",4,,cotton,gray,,polka_dot,24.34,115.19,138.23,estate_sale,2024-02-29,North Paulfurt,True,406,"['https://example.com/photos/item_74_0.jpg', 'https://example.com/photos/item_74_1.jpg']","['retro', 'classic', 'bohemian']",available
75,sq_item_075,VIN0075,MediumOrchid Mini Dress,Banana Republic,dresses,mini_dress,1970s,size_10,"{""chest"": ""41\"""", ""waist"": ""33\"""", ""length"": ""35\""""}",3,Maxime totam accusamus praesentium nesciunt.,wool,gray,,animal_print,63.93,294.23,353.08,online_marketplace,2023-02-09,Rodriguezberg,True,910,"['https://example.com/photos/item_75_0.jpg', 'https://example.com/photos/item_75_1.jpg', 'https://example.com/photos/item_75_2.jpg']","['festival', 'bohemian', 'vintage']",available
76,sq_item_076,VIN0076,DarkViolet Pants,Unknown,bottoms,pants,1980s,S,"{""chest"": ""35\"""", ""waist"": ""26\"""", ""length"": ""29\""""}",5,,denim,green,,geometric,6.52,29.03,34.84,estate_sale,2023-07-12,North Annaville,True,1004,"['https://example.com/photos/item_76_0.jpg', 'https://example.com/photos/item_76_1.jpg']","['classic', 'vintage']",sold
77,sq_item_077,VIN0077,LightSlateGray Jewelry,Unknown,accessories,jewelry,1980s,M,"{""chest"": ""40\"""", ""waist"": ""33\"""", ""length"": ""20\""""}",3,,polyester,black,purple,solid,66.58,236.08,283.3,consignment,2024-12-22,Natalieview,True,507,"['https://example.com/photos/item_77_0.jpg', 'https://example.com/photos/item_77_1.jpg', 'https://example.com/photos/item_77_2.jpg']","['vintage', 'retro']",sold
78,sq_item_078,VIN0078,OliveDrab Leather Jacket,Unknown,jackets,leather_jacket,Y2K,size_10,"{""chest"": ""41\"""", ""waist"": ""32\"""", ""length"": ""31\""""}",4,,leather,white,pink,solid,56.09,152.89,183.47,thrift_store,2024-08-08,Armstrongfort,True,1697,"['https://example.com/photos/item_78_0.jpg', 'https://example.com/photos/item_78_1.jpg']",['classic'],sold
79,sq_item_079,VIN0079,Blue Sweater,Forever 21,tops,sweater,1990s,XS,"{""chest"": ""39\"""", ""waist"": ""26\"""", ""length"": ""40\""""}",3,,polyester,green,,stripes,25.18,81.29,97.55,consignment,2024-03-09,West Richard,True,1933,"['https://example.com/photos/item_79_0.jpg', 'https://example.com/photos/item_79_1.jpg', 'https://example.com/photos/item_79_2.jpg', 'https://example.com/photos/item_79_3.jpg']","['vintage', 'statement_piece']",sold
80,sq_item_080,VIN0080,PaleGoldenRod Tank Top,Zara,tops,tank_top,1960s,size_6,"{""chest"": ""40\"""", ""waist"": ""34\"""", ""length"": ""39\""""}",4,Id soluta porro.,silk,purple,green,animal_print,27.66,98.52,118.22,consignment,2023-10-11,Lake Thomasview,True,634,"['https://example.com/photos/item_80_0.jpg', 'https://example.com/photos/item_80_1.jpg', 'https://example.com/photos/item_80_2.jpg']",['festival'],available
81,sq_item_081,VIN0081,Navy Scarf,Zara,accessories,scarf,1990s,M,"{""chest"": ""32\"""", ""waist"": ""34\"""", ""length"": ""35\""""}",5,Excepturi recusandae est.,cashmere,pink,,solid,72.48,320.09,384.11,donation,2024-12-26,Garrisonville,True,1271,"['https://example.com/photos/item_81_0.jpg', 'https://example.com/photos/item_81_1.jpg']","['classic', 'festival']",available
82,sq_item_082,VIN0082,Khaki Sneakers,Ann Taylor,shoes,sneakers,1990s,size_12,"{""chest"": ""34\"""", ""waist"": ""28\"""", ""length"": ""23\""""}",4,,wool,yellow,,floral,72.99,293.1,351.72,consignment,2023-08-17,West Terri,True,1624,"['https://example.com/photos/item_82_0.jpg', 'https://example.com/photos/item_82_1.jpg', 'https://example.com/photos/item_82_2.jpg']","['statement_piece', 'classic']",sold
83,sq_item_083,VIN0083,Red Pants,Zara,bottoms,pants,1980s,size_14,"{""chest"": ""33\"""", ""waist"": ""31\"""", ""length"": ""48\""""}",3,Earum impedit officia deleniti distinctio reprehenderit.,cashmere,brown,black,floral,39.78,93.62,112.34,thrift_store,2023-07-25,Malonestad,True,801,"['https://example.com/photos/item_83_0.jpg', 'https://example.com/photos/item_83_1.jpg', 'https://example.com/photos/item_83_2.jpg', 'https://example.com/photos/item_83_3.jpg']","['vintage', 'festival', 'statement_piece']",sold
84,sq_item_084,VIN0084,Chartreuse Heels,Unknown,shoes,heels,1980s,XS,"{""chest"": ""39\"""", ""waist"": ""28\"""", ""length"": ""26\""""}",5,Recusandae aperiam quae illo quos minima necessitatibus.,wool,purple,,solid,63.42,219.61,263.53,thrift_store,2024-09-21,East Nancy,True,988,"['https://example.com/photos/item_84_0.jpg', 'https://example.com/photos/item_84_1.jpg', 'https://example.com/photos/item_84_2.jpg', 'https://example.com/photos/item_84_3.jpg']","['vintage', 'classic']",available
85,sq_item_085,VIN0085,Green Leather Jacket,Vintage Levi's,jackets,leather_jacket,1970s,size_12,"{""chest"": ""35\"""", ""waist"": ""24\"""", ""length"": ""41\""""}",3,,polyester,yellow,,solid,7.83,20.34,24.41,online_marketplace,2024-05-30,East Antonioton,True,1305,"['https://example.com/photos/item_85_0.jpg', 'https://example.com/photos/item_85_1.jpg', 'https://example.com/photos/item_85_2.jpg']",['bohemian'],sold
86,sq_item_086,VIN0086,MistyRose Maxi Dress,Chanel,dresses,maxi_dress,1980s,M,"{""chest"": ""37\"""", ""waist"": ""31\"""", ""length"": ""31\""""}",5,Earum reprehenderit magnam odio commodi.,cashmere,black,red,floral,76.13,256.39,307.67,estate_sale,2024-08-26,East Nathanmouth,True,1133,"['https://example.com/photos/item_86_0.jpg', 'https://example.com/photos/item_86_1.jpg']",['statement_piece'],sold
87,sq_item_087,VIN0087,Fuchsia Boots,Zara,shoes,boots,1980s,XS,"{""chest"": ""42\"""", ""waist"": ""25\"""", ""length"": ""40\""""}",5,Nesciunt expedita cum tempora quibusdam porro eligendi.,silk,pink,,solid,33.14,129.94,155.93,donation,2023-09-16,Williamsshire,True,1071,"['https://example.com/photos/item_87_0.jpg', 'https://example.com/photos/item_87_1.jpg']",['classic'],available
88,sq_item_088,VIN0088,HotPink Boots,Unknown,shoes,boots,1980s,M,"{""chest"": ""38\"""", ""waist"": ""25\"""", ""length"": ""36\""""}",5,Officia perspiciatis eaque illum accusantium.,silk,white,,geometric,27.58,109.91,131.89,thrift_store,2023-09-27,South Rhondaburgh,True,1802,"['https://example.com/photos/item_88_0.jpg', 'https://example.com/photos/item_88_1.jpg']","['classic', 'vintage']",available
89,sq_item_089,VIN0089,Aqua Skirt,J.Crew,bottoms,skirt,1970s,XS,"{""chest"": ""32\"""", ""waist"": ""34\"""", ""length"": ""22\""""}",5,,linen,red,,geometric,7.96,27.77,33.32,estate_sale,2023-04-14,West Charlene,True,1952,"['https://example.com/photos/item_89_0.jpg', 'https://example.com/photos/item_89_1.jpg', 'https://example.com/photos/item_89_2.jpg']","['festival', 'vintage', 'statement_piece']",sold
90,sq_item_090,VIN0090,Linen Shorts,Banana Republic,bottoms,shorts,1980s,size_6,"{""chest"": ""38\"""", ""waist"": ""35\"""", ""length"": ""23\""""}",3,,cotton,black,,animal_print,8.76,38.89,46.67,thrift_store,2023-12-03,Rodneyfurt,True,832,"['https://example.com/photos/item_90_0.jpg', 'https://example.com/photos/item_90_1.jpg', 'https://example.com/photos/item_90_2.jpg', 'https://example.com/photos/item_90_3.jpg']","['statement_piece', 'bohemian', 'classic']",available
91,sq_item_091,VIN0091,MediumVioletRed Skirt,Ann Taylor,bottoms,skirt,1990s,size_10,"{""chest"": ""38\"""", ""waist"": ""34\"""", ""length"": ""48\""""}",5,Dolorum iure perspiciatis repudiandae id aut maiores.,cotton,red,gray,polka_dot,13.54,43.34,52.01,donation,2024-11-25,Annaport,True,997,"['https://example.com/photos/item_91_0.jpg', 'https://example.com/photos/item_91_1.jpg']","['vintage', 'statement_piece', 'bohemian']",sold
92,sq_item_092,VIN0092,Lime Heels,Unknown,shoes,heels,1960s,size_6,"{""chest"": ""32\"""", ""waist"": ""35\"""", ""length"": ""47\""""}",4,,polyester,yellow,,animal_print,41.23,142.84,171.41,donation,2023-04-08,South Calebview,True,986,"['https://example.com/photos/item_92_0.jpg', 'https://example.com/photos/item_92_1.jpg']","['statement_piece', 'vintage']",available
93,sq_item_093,VIN0093,MediumOrchid Blazer,J.Crew,tops,blazer,1980s,size_10,"{""chest"": ""39\"""", ""waist"": ""26\"""", ""length"": ""22\""""}",5,,denim,green,blue,geometric,71.9,276.01,331.21,online_marketplace,2024-02-17,Joseport,True,1773,"['https://example.com/photos/item_93_0.jpg', 'https://example.com/photos/item_93_1.jpg']",['vintage'],sold
94,sq_item_094,VIN0094,Gold Cardigan,Local Designer,jackets,cardigan,1990s,XS,"{""chest"": ""33\"""", ""waist"": ""30\"""", ""length"": ""33\""""}",3,,silk,gray,,animal_print,11.6,40.55,48.66,consignment,2024-06-04,New Kathy,True,1251,"['https://example.com/photos/item_94_0.jpg', 'https://example.com/photos/item_94_1.jpg']","['classic', 'vintage', 'statement_piece']",sold
95,sq_item_095,VIN0095,Chartreuse Jeans,Forever 21,bottoms,jeans,1980s,size_6,"{""chest"": ""39\"""", ""waist"": ""25\"""", ""length"": ""23\""""}",5,Illo eum consequuntur ad libero eos tenetur illo.,denim,yellow,,stripes,66.24,300.26,360.31,donation,2024-06-18,New Jeanshire,True,865,['https://example.com/photos/item_95_0.jpg'],['festival'],sold
96,sq_item_096,VIN0096,Gold Denim Jacket,Unknown,jackets,denim_jacket,1970s,S,"{""chest"": ""38\"""", ""waist"": ""27\"""", ""length"": ""34\""""}",5,Quas dolore modi quos temporibus perferendis.,denim,white,,solid,66.64,281.72,338.06,donation,2023-05-07,Meganside,True,1681,"['https://example.com/photos/item_96_0.jpg', 'https://example.com/photos/item_96_1.jpg', 'https://example.com/photos/item_96_2.jpg', 'https://example.com/photos/item_96_3.jpg']","['classic', 'retro']",sold
97,sq_item_097,VIN0097,Gainsboro Scarf,Gucci,accessories,scarf,1980s,size_14,"{""chest"": ""39\"""", ""waist"": ""32\"""", ""length"": ""44\""""}",5,Atque consectetur ea repellat quis.,wool,red,gray,geometric,77.29,155.59,186.71,consignment,2024-05-31,Lake Rachel,True,1905,"['https://example.com/photos/item_97_0.jpg', 'https://example.com/photos/item_97_1.jpg', 'https://example.com/photos/item_97_2.jpg', 'https://example.com/photos/item_97_3.jpg']","['retro', 'festival']",available
98,sq_item_098,VIN0098,DarkCyan Shorts,Vintage Levi's,bottoms,shorts,1980s,size_12,"{""chest"": ""36\"""", ""waist"": ""35\"""", ""length"": ""37\""""}",5,,polyester,blue,green,animal_print,77.27,379.51,455.41,consignment,2024-11-19,West Jeffrey,True,371,"['https://example.com/photos/item_98_0.jpg', 'https://example.com/photos/item_98_1.jpg']","['retro', 'statement_piece', 'bohemian']",sold
99,sq_item_099,VIN0099,Linen Shorts,H&M,bottoms,shorts,1990s,size_12,"{""chest"": ""36\"""", ""waist"": ""30\"""", ""length"": ""45\""""}",3,Ratione ex ea eos sed iusto.,cashmere,red,black,floral,48.71,235.17,282.2,consignment,2023-06-14,South Pamelahaven,True,686,"['https://example.com/photos/item_99_0.jpg', 'https://example.com/photos/item_99_1.jpg', 'https://example.com/photos/item_99_2.jpg']",['bohemian'],available
100,sq_item_100,VIN0100,DarkOrchid Flats,Diane von Furstenberg,shoes,flats,1980s,size_12,"{""chest"": ""35\"""", ""waist"": ""35\"""", ""length"": ""40\""""}",4,Minus impedit sit corrupti voluptatibus exercitationem.,leather,black,,polka_dot,20.3,73.56,88.27,online_marketplace,2024-12-02,Thomasburgh,True,740,['https://example.com/photos/item_100_0.jpg'],['classic'],sold
101,sq_item_101,VIN0101,Cyan Skirt,Ann Taylor,bottoms,skirt,Y2K,size_6,"{""chest"": ""41\"""", ""waist"": ""32\"""", ""length"": ""43\""""}",4,,polyester,green,,animal_print,51.54,223.83,268.6,estate_sale,2023-07-11,Cookburgh,True,455,['https://example.com/photos/item_101_0.jpg'],"['bohemian', 'vintage']",available
102,sq_item_102,VIN0102,Maroon Pants,Unknown,bottoms,pants,1990s,M,"{""chest"": ""32\"""", ""waist"": ""26\"""", ""length"": ""49\""""}",4,A earum quis cumque.,leather,purple,,geometric,14.75,55.34,66.41,consignment,2023-03-16,South Kristen,True,1705,"['https://example.com/photos/item_102_0.jpg', 'https://example.com/photos/item_102_1.jpg', 'https://example.com/photos/item_102_2.jpg']","['festival', 'classic', 'bohemian']",sold
103,sq_item_103,VIN0103,DarkCyan Scarf,Unknown,accessories,scarf,1970s,size_6,"{""chest"": ""37\"""", ""waist"": ""29\"""", ""length"": ""29\""""}",4,,linen,brown,,animal_print,36.19,130.69,156.83,estate_sale,2023-04-28,New Ryan,True,1469,"['https://example.com/photos/item_103_0.jpg', 'https://example.com/photos/item_103_1.jpg', 'https://example.com/photos/item_103_2.jpg']","['festival', 'retro']",sold
104,sq_item_104,VIN0104,Pink Scarf,J.Crew,accessories,scarf,Y2K,size_8,"{""chest"": ""36\"""", ""waist"": ""32\"""", ""length"": ""43\""""}",4,,denim,brown,,polka_dot,76.92,311.35,373.62,online_marketplace,2023-02-14,Pattersonfort,True,707,"['https://example.com/photos/item_104_0.jpg', 'https://example.com/photos/item_104_1.jpg']","['retro', 'bohemian']",sold
105,sq_item_105,VIN0105,OliveDrab Midi Dress,Zara,dresses,midi_dress,1970s,L,"{""chest"": ""42\"""", ""waist"": ""30\"""", ""length"": ""46\""""}",3,,cashmere,white,,floral,77.87,336.39,403.67,estate_sale,2024-04-15,North Amandastad,True,1568,"['https://example.com/photos/item_105_0.jpg', 'https://example.com/photos/item_105_1.jpg', 'https://example.com/photos/item_105_2.jpg']",['bohemian'],sold
106,sq_item_106,VIN0106,Aquamarine Mini Dress,Ann Taylor,dresses,mini_dress,Y2K,size_8,"{""chest"": ""38\"""", ""waist"": ""31\"""", ""length"": ""40\""""}",4,,cashmere,white,,animal_print,18.35,50.57,60.68,donation,2023-03-06,Katherinehaven,True,1648,['https://example.com/photos/item_106_0.jpg'],"['bohemian', 'statement_piece', 'classic']",sold
107,sq_item_107,VIN0107,Gold Pants,Unknown,bottoms,pants,1990s,XS,"{""chest"": ""39\"""", ""waist"": ""26\"""", ""length"": ""37\""""}",4,,leather,red,yellow,solid,50.49,143.62,172.34,donation,2024-07-22,Lake Adambury,True,389,['https://example.com/photos/item_107_0.jpg'],['bohemian'],available
108,sq_item_108,VIN0108,Ivory Belt,Forever 21,accessories,belt,Y2K,size_6,"{""chest"": ""35\"""", ""waist"": ""30\"""", ""length"": ""48\""""}",4,,wool,red,green,floral,45.29,219.25,263.1,estate_sale,2023-07-05,Larryville,True,1474,['https://example.com/photos/item_108_0.jpg'],"['vintage', 'retro', 'bohemian']",sold
109,sq_item_109,VIN0109,OliveDrab Jeans,Vintage Band Tee,bottoms,jeans,1980s,L,"{""chest"": ""33\"""", ""waist"": ""28\"""", ""length"": ""39\""""}",3,Nihil cumque reprehenderit error enim quas nisi.,linen,purple,,animal_print,23.8,61.7,74.04,consignment,2024-12-11,Ryanberg,True,1296,"['https://example.com/photos/item_109_0.jpg', 'https://example.com/photos/item_109_1.jpg']","['retro', 'statement_piece', 'classic']",sold
110,sq_item_110,VIN0110,MediumSpringGreen Denim Jacket,Forever 21,jackets,denim_jacket,1980s,size_6,"{""chest"": ""34\"""", ""waist"": ""34\"""", ""length"": ""43\""""}",4,,linen,yellow,,polka_dot,5.36,14.68,17.62,donation,2023-04-22,Howardborough,True,459,['https://example.com/photos/item_110_0.jpg'],"['festival', 'retro']",sold
111,sq_item_111,VIN0111,FireBrick T Shirt,Banana Republic,tops,t_shirt,1990s,XS,"{""chest"": ""41\"""", ""waist"": ""33\"""", ""length"": ""32\""""}",5,Accusantium dolore voluptates distinctio accusantium magnam.,cotton,brown,brown,polka_dot,60.02,232.87,279.44,thrift_store,2024-01-10,West Jenniferton,True,903,"['https://example.com/photos/item_111_0.jpg', 'https://example.com/photos/item_111_1.jpg']","['classic', 'statement_piece', 'festival']",available
112,sq_item_112,VIN0112,OldLace Leather Jacket,Ann Taylor,jackets,leather_jacket,1990s,size_14,"{""chest"": ""42\"""", ""waist"": ""26\"""", ""length"": ""44\""""}",4,,wool,gray,,animal_print,34.76,121.89,146.27,thrift_store,2024-05-10,Kelseyton,True,834,['https://example.com/photos/item_112_0.jpg'],['vintage'],available
113,sq_item_113,VIN0113,BurlyWood Blouse,Chanel,tops,blouse,1990s,size_8,"{""chest"": ""39\"""", ""waist"": ""31\"""", ""length"": ""48\""""}",3,,denim,white,,geometric,24.83,67.09,80.51,consignment,2023-09-27,Lake Maryton,True,1285,"['https://example.com/photos/item_113_0.jpg', 'https://example.com/photos/item_113_1.jpg']","['classic', 'vintage']",available
114,sq_item_114,VIN0114,DarkOrange Jeans,Chanel,bottoms,jeans,1980s,size_6,"{""chest"": ""39\"""", ""waist"": ""36\"""", ""length"": ""35\""""}",5,Ipsam commodi dolorum praesentium dignissimos placeat.,wool,purple,white,geometric,43.75,136.89,164.27,consignment,2023-08-05,West Robertville,True,407,"['https://example.com/photos/item_114_0.jpg', 'https://example.com/photos/item_114_1.jpg']",['statement_piece'],available
115,sq_item_115,VIN0115,Turquoise Handbag,Vintage Levi's,accessories,handbag,1990s,size_10,"{""chest"": ""35\"""", ""waist"": ""33\"""", ""length"": ""25\""""}",4,,polyester,black,gray,floral,54.58,177.05,212.46,thrift_store,2024-10-06,Cindyberg,True,1149,['https://example.com/photos/item_115_0.jpg'],"['festival', 'bohemian', 'classic']",sold
116,sq_item_116,VIN0116,PeachPuff Skirt,Zara,bottoms,skirt,1990s,XL,"{""chest"": ""33\"""", ""waist"": ""27\"""", ""length"": ""34\""""}",4,,linen,red,pink,geometric,43.75,140.72,168.86,thrift_store,2024-08-19,New Jenniferville,True,1780,"['https://example.com/photos/item_116_0.jpg', 'https://example.com/photos/item_116_1.jpg']","['classic', 'retro', 'statement_piece']",reserved
117,sq_item_117,VIN0117,LightSkyBlue T Shirt,Unknown,tops,t_shirt,1970s,XS,"{""chest"": ""35\"""", ""waist"": ""32\"""", ""length"": ""47\""""}",5,,wool,gray,purple,geometric,74.18,281.11,337.33,donation,2023-02-09,Port Danielborough,True,1897,['https://example.com/photos/item_117_0.jpg'],['vintage'],sold
118,sq_item_118,VIN0118,Green Heels,J.Crew,shoes,heels,1990s,size_8,"{""chest"": ""40\"""", ""waist"": ""30\"""", ""length"": ""31\""""}",5,,cashmere,blue,,polka_dot,72.65,262.84,315.41,online_marketplace,2023-12-25,Marieborough,True,1306,['https://example.com/photos/item_118_0.jpg'],"['festival', 'statement_piece']",sold
119,sq_item_119,VIN0119,MintCream Denim Jacket,Gucci,jackets,denim_jacket,1970s,XS,"{""chest"": ""32\"""", ""waist"": ""33\"""", ""length"": ""36\""""}",3,Eos aliquam libero dignissimos ut ex.,polyester,yellow,,solid,73.26,164.94,197.93,thrift_store,2024-03-12,North Emilyville,True,1434,"['https://example.com/photos/item_119_0.jpg', 'https://example.com/photos/item_119_1.jpg', 'https://example.com/photos/item_119_2.jpg']","['retro', 'vintage']",sold
120,sq_item_120,VIN0120,Snow Jewelry,Unknown,accessories,jewelry,1980s,size_12,"{""chest"": ""39\"""", ""waist"": ""26\"""", ""length"": ""31\""""}",4,,leather,gray,,animal_print,50.89,253.2,303.84,online_marketplace,2023-05-22,North Kimberly,True,1851,['https://example.com/photos/item_120_0.jpg'],"['festival', 'vintage', 'classic']",sold
121,sq_item_121,VIN0121,Crimson Midi Dress,Zara,dresses,midi_dress,1990s,XS,"{""chest"": ""34\"""", ""waist"": ""30\"""", ""length"": ""50\""""}",4,,wool,purple,,polka_dot,43.13,187.97,225.56,estate_sale,2023-03-07,West Dawnmouth,True,638,"['https://example.com/photos/item_121_0.jpg', 'https://example.com/photos/item_121_1.jpg']","['bohemian', 'retro']",available
122,sq_item_122,VIN0122,LightYellow Cocktail Dress,Unknown,dresses,cocktail_dress,Y2K,XS,"{""chest"": ""34\"""", ""waist"": ""34\"""", ""length"": ""35\""""}",4,Iure aut cupiditate aliquam enim.,leather,blue,gray,geometric,74.8,239.5,287.4,donation,2024-12-16,Ronaldville,True,574,"['https://example.com/photos/item_122_0.jpg', 'https://example.com/photos/item_122_1.jpg']","['bohemian', 'statement_piece', 'festival']",available
123,sq_item_123,VIN0123,DarkGray Boots,Unknown,shoes,boots,1990s,size_8,"{""chest"": ""41\"""", ""waist"": ""27\"""", ""length"": ""36\""""}",3,,silk,brown,brown,geometric,78.17,176.71,212.05,consignment,2023-12-22,North Melissaburgh,True,1770,"['https://example.com/photos/item_123_0.jpg', 'https://example.com/photos/item_123_1.jpg', 'https://example.com/photos/item_123_2.jpg']",['retro'],sold
124,sq_item_124,VIN0124,MediumPurple Tank Top,Unknown,tops,tank_top,1970s,S,"{""chest"": ""40\"""", ""waist"": ""28\"""", ""length"": ""30\""""}",5,,leather,brown,,geometric,74.73,278.35,334.02,consignment,2024-12-11,Patriciaview,True,1006,"['https://example.com/photos/item_124_0.jpg', 'https://example.com/photos/item_124_1.jpg', 'https://example.com/photos/item_124_2.jpg', 'https://example.com/photos/item_124_3.jpg']","['vintage', 'festival', 'statement_piece']",sold
125,sq_item_125,VIN0125,DarkGoldenRod Cardigan,Unknown,jackets,cardigan,1980s,L,"{""chest"": ""42\"""", ""waist"": ""35\"""", ""length"": ""27\""""}",5,,denim,brown,,animal_print,72.24,331.3,397.56,consignment,2023-09-12,Lisaburgh,True,688,['https://example.com/photos/item_125_0.jpg'],"['classic', 'statement_piece']",sold
126,sq_item_126,VIN0126,DarkOrange Midi Dress,Unknown,dresses,midi_dress,Y2K,L,"{""chest"": ""39\"""", ""waist"": ""35\"""", ""length"": ""26\""""}",4,Id itaque saepe porro laboriosam in.,leather,blue,blue,geometric,40.74,124.69,149.63,consignment,2023-06-09,North David,True,1695,['https://example.com/photos/item_126_0.jpg'],['bohemian'],available
127,sq_item_127,VIN0127,Chocolate Sneakers,Vintage Levi's,shoes,sneakers,1980s,size_14,"{""chest"": ""37\"""", ""waist"": ""31\"""", ""length"": ""48\""""}",5,,leather,purple,brown,stripes,51.04,219.1,262.92,online_marketplace,2023-08-16,North Robert,True,1636,"['https://example.com/photos/item_127_0.jpg', 'https://example.com/photos/item_127_1.jpg']",['retro'],sold
128,sq_item_128,VIN0128,SkyBlue Cardigan,Banana Republic,jackets,cardigan,1990s,size_10,"{""chest"": ""33\"""", ""waist"": ""35\"""", ""length"": ""36\""""}",4,,cotton,blue,,solid,75.47,158.31,189.97,consignment,2024-01-06,Whitefurt,True,1354,"['https://example.com/photos/item_128_0.jpg', 'https://example.com/photos/item_128_1.jpg', 'https://example.com/photos/item_128_2.jpg']",['retro'],sold
